epoch,ORS_dice_coefficient,loss,lr,timestamp,val_ORS_dice_coefficient,val_loss
0,0.84433216,0.08467230072902768,1.0,10/29/2023 14:14:39,0.7987206,0.05913034677505493
1,0.856177,0.0780627442271796,1.0,10/29/2023 14:14:44,0.8216711,0.04573888257145882
2,0.8631665,0.07248879460119965,1.0,10/29/2023 14:14:49,0.8449197,0.04520779550075531
3,0.8606745,0.07534851763311393,1.0,10/29/2023 14:14:54,0.83381784,0.052568008005619046
4,0.8571149,0.07772933937633784,1.0,10/29/2023 14:14:59,0.84148854,0.04527460373938084
5,0.8575806,0.07582574081991372,1.0,10/29/2023 14:15:04,0.8408969,0.046542733907699585
6,0.86467874,0.07340625947704016,1.0,10/29/2023 14:15:09,0.8312985,0.05612458102405071
7,0.861135,0.07430621927524164,1.0,10/29/2023 14:15:14,0.83812207,0.05177345871925354
8,0.8716266,0.07137266000603686,1.0,10/29/2023 14:15:20,0.8482238,0.04465670362114906
9,0.86096853,0.07511645056331905,1.0,10/29/2023 14:15:24,0.81481683,0.052735385671257975
10,0.8561096,0.07327876215425655,1.0,10/29/2023 14:15:29,0.8421834,0.04721961840987206
11,0.8722854,0.06916768087854873,1.0,10/29/2023 14:15:35,0.8547913,0.04613406136631966
12,0.8688943,0.07127740600518268,1.0,10/29/2023 14:15:40,0.8265848,0.05189391411840916
13,0.8707921,0.06925024640540478,1.0,10/29/2023 14:15:45,0.8542528,0.04660261049866676
14,0.87326664,0.07063877344033112,1.0,10/29/2023 14:15:50,0.84085226,0.0500625092536211
15,0.8786495,0.06767816868650638,1.0,10/29/2023 14:15:55,0.8426455,0.04962100088596344
16,0.86594874,0.0731059118318479,1.0,10/29/2023 14:16:00,0.82297724,0.05238562226295471
17,0.8792914,0.06575002933148504,1.0,10/29/2023 14:16:05,0.8443676,0.052792555466294286
18,0.87623066,0.06862407167850941,1.0,10/29/2023 14:16:10,0.8485519,0.04895505011081695
19,0.892654,0.060148988140396556,0.1,10/29/2023 14:16:15,0.8535654,0.04826433882117272
20,0.8943561,0.05962024643869683,0.1,10/29/2023 14:16:20,0.85452497,0.04873068705201149
21,0.89489305,0.0577578082336451,0.1,10/29/2023 14:16:25,0.85375726,0.04993322528898716
22,0.8977888,0.05814876747947715,0.1,10/29/2023 14:16:30,0.85645866,0.04956625290215015
23,0.90133524,0.056485560848669646,0.1,10/29/2023 14:16:35,0.8583382,0.04957047700881958
