epoch,ORS_dice_coefficient,loss,lr,timestamp,val_ORS_dice_coefficient,val_loss
0,0.7938016,0.1706732985227322,1.0,10/19/2023 15:57:23,0.7743717,0.07162709267868195
1,0.79526347,0.1689856187534425,1.0,10/19/2023 15:57:56,0.7833287,0.06419258533787797
2,0.8003218,0.16282650335568916,1.0,10/19/2023 15:58:27,0.7660676,0.08125407724583056
3,0.80313104,0.16095302472678583,1.0,10/19/2023 15:58:59,0.7837618,0.0728358763808501
4,0.80293673,0.1613959840794361,1.0,10/19/2023 15:59:31,0.78000987,0.0676930678255303
5,0.80304176,0.16083556582805683,1.0,10/19/2023 16:00:03,0.790593,0.06582138966223283
6,0.80603796,0.15878128755666496,1.0,10/19/2023 16:00:35,0.7844372,0.06728341470443411
7,0.804662,0.15955662362960432,1.0,10/19/2023 16:01:07,0.78408706,0.06716597664853907
8,0.80503386,0.16015321574534577,1.0,10/19/2023 16:01:39,0.7861239,0.06949560567954904
9,0.8061606,0.15855832536334166,1.0,10/19/2023 16:02:11,0.7881536,0.06615616526869417
10,0.8074535,0.15676169562899164,1.0,10/19/2023 16:02:43,0.7894464,0.07554729847470298
11,0.80893236,0.15596057637935423,1.0,10/19/2023 16:03:15,0.7869381,0.06796711640799913
12,0.82244474,0.14280211857830033,0.1,10/19/2023 16:03:48,0.7948241,0.0642527925883769
13,0.82579786,0.14028365386320732,0.1,10/19/2023 16:04:20,0.79738843,0.06358361861748563
14,0.8264257,0.1389033747290336,0.1,10/19/2023 16:04:53,0.7973583,0.06324170144398522
15,0.8268104,0.13891911195913081,0.1,10/19/2023 16:05:25,0.7984931,0.0644866897346219
16,0.8282762,0.13863993643149244,0.1,10/19/2023 16:05:57,0.7976629,0.06318127478334645
17,0.82814234,0.1370318078709263,0.1,10/19/2023 16:06:29,0.7969712,0.06391005145451345
18,0.8289782,0.13782538851551437,0.1,10/19/2023 16:07:01,0.79941344,0.0643053591120406
19,0.8291131,0.13698079333509983,0.1,10/19/2023 16:07:34,0.79632795,0.062411135829279374
20,0.8300618,0.1355859715784086,0.1,10/19/2023 16:08:06,0.7994366,0.06187054002384684
21,0.82923937,0.1367165448426215,0.1,10/19/2023 16:08:38,0.800377,0.06315796293301901
22,0.83064264,0.13647046593485915,0.1,10/19/2023 16:09:11,0.8010082,0.061878040858118766
23,0.8311023,0.1352493474221479,0.1,10/19/2023 16:09:43,0.80037224,0.063924149982995
24,0.83120435,0.13577948902250642,0.1,10/19/2023 16:10:15,0.8020198,0.06343726075283485
25,0.8313463,0.1355070186326488,0.1,10/19/2023 16:10:47,0.80238587,0.06320242183301161
26,0.831278,0.1343469885348868,0.1,10/19/2023 16:11:19,0.8017815,0.06165214061957158
27,0.83249146,0.1338330626357306,0.1,10/19/2023 16:11:51,0.8033339,0.06367639182508356
28,0.8326057,0.13495914333280554,0.1,10/19/2023 16:12:23,0.802501,0.06264411838583328
29,0.83306247,0.1340241917772882,0.1,10/19/2023 16:12:55,0.8037446,0.06252972343736474
30,0.8331286,0.1336504384045644,0.1,10/19/2023 16:13:27,0.804426,0.06245488337299321
31,0.83246344,0.1349967729377248,0.1,10/19/2023 16:13:59,0.7997195,0.06307785011904343
32,0.83315474,0.13350724235934236,0.1,10/19/2023 16:14:31,0.8039221,0.06299467822373117
33,0.8330306,0.13365695171770087,0.1,10/19/2023 16:15:03,0.80359256,0.0638705155615753
34,0.8337654,0.1332988991655922,0.1,10/19/2023 16:15:35,0.80089694,0.06319783778189958
35,0.83348185,0.13289111052917618,0.1,10/19/2023 16:16:08,0.80465674,0.06498816915427597
36,0.8346962,0.13260438018128612,0.1,10/19/2023 16:16:40,0.8028198,0.06379242814364261
37,0.8345798,0.13195699204964967,0.01,10/19/2023 16:17:12,0.80513304,0.06302801046376771
38,0.8355339,0.1318280177063644,0.01,10/19/2023 16:17:44,0.8054662,0.06250520570392837
39,0.8361262,0.13114953292834913,0.01,10/19/2023 16:18:16,0.8056178,0.06252922450812548
40,0.83542377,0.1314446082906134,0.01,10/19/2023 16:18:48,0.8053099,0.06282789231681818
41,0.8355021,0.1311733054130755,0.01,10/19/2023 16:19:20,0.805485,0.06286379837956702
