epoch,ORS_dice_coefficient,loss,lr,timestamp,val_ORS_dice_coefficient,val_loss
0,0.44550604,0.6571174313523949,1.0,10/19/2023 14:28:50,0.48209682,0.3513711551204324
1,0.61364347,0.35574148037370756,1.0,10/19/2023 14:28:58,0.6265908,0.14289528038352728
2,0.6943762,0.26335209460577663,1.0,10/19/2023 14:29:07,0.6682952,0.13019397389143705
3,0.7233493,0.24098476443522843,1.0,10/19/2023 14:29:15,0.66935116,0.11962154158391058
4,0.74511534,0.2286267937196921,1.0,10/19/2023 14:29:22,0.67092276,0.13166409614495933
5,0.76051635,0.20735702387096916,1.0,10/19/2023 14:29:31,0.69069004,0.10533066239440814
6,0.76978976,0.19515501559687434,1.0,10/19/2023 14:29:39,0.690525,0.09282528900075704
7,0.7791732,0.18691916903424213,1.0,10/19/2023 14:29:47,0.7197686,0.09153672232059762
8,0.77936244,0.1917851282680373,1.0,10/19/2023 14:29:55,0.7112312,0.0838360192719847
9,0.7905004,0.17257518497332447,1.0,10/19/2023 14:30:01,NA,NA
