epoch,ORS_dice_coefficient,loss,lr,timestamp,val_ORS_dice_coefficient,val_loss
0,0.85286623,0.08021819707092279,1.0,10/29/2023 14:16:54,0.7716055,0.07477551475167274
1,0.8678871,0.07116049284687137,1.0,10/29/2023 14:16:59,0.81402856,0.0609531257301569
2,0.8720923,0.07088325989029982,1.0,10/29/2023 14:17:04,0.8481604,0.04799894653260708
3,0.8733061,0.06997196066497575,1.0,10/29/2023 14:17:08,0.819143,0.05260079205036163
4,0.8687523,0.07196357285622323,1.0,10/29/2023 14:17:14,0.84986323,0.04666455127298832
5,0.87213355,0.07021082744690844,1.0,10/29/2023 14:17:18,0.839931,0.048942269384860994
6,0.87981284,0.06745867288545414,1.0,10/29/2023 14:17:23,0.83408105,0.05549267530441284
7,0.867864,0.07210421740467793,1.0,10/29/2023 14:17:28,0.8180789,0.0549366008490324
8,0.86581564,0.07495110603694868,1.0,10/29/2023 14:17:33,0.79922867,0.06368394345045089
9,0.88461435,0.06528249805909965,1.0,10/29/2023 14:17:38,0.83677167,0.04943300113081932
10,0.8697457,0.07144767388996512,1.0,10/29/2023 14:17:43,0.83234537,0.05464297980070114
11,0.8869157,0.06487797971556683,1.0,10/29/2023 14:17:48,0.8406887,0.051266264915466306
12,0.88487405,0.06537418237121978,1.0,10/29/2023 14:17:53,0.8105795,0.07056210115551949
13,0.87506807,0.06773530718910419,1.0,10/29/2023 14:17:58,0.84084463,0.05208421908318996
14,0.8735416,0.0709140682377831,1.0,10/29/2023 14:18:04,0.8234962,0.051401326060295106
15,0.88667285,0.060329845537840335,0.1,10/29/2023 14:18:09,0.8508104,0.04953957237303257
16,0.8962587,0.058681010892583985,0.1,10/29/2023 14:18:14,0.84924805,0.05279109328985214
17,0.8994158,0.05685631613625158,0.1,10/29/2023 14:18:19,0.857993,0.05003937929868698
18,0.9020232,0.056462455393359215,0.1,10/29/2023 14:18:24,0.8570585,0.051571836695075035
19,0.90161455,0.05661104478114116,0.1,10/29/2023 14:18:29,0.8535889,0.052881354466080666
