epoch,ORS_dice_coefficient,loss,timestamp,val_ORS_dice_coefficient,val_loss
61,0.9231525,0.06902773070092104,11/03/2023 19:03:21,0.8822006,0.07811276242136955
62,0.9214727,0.07101990014922863,11/03/2023 19:03:24,0.8895965,0.06766605842858553
63,0.921827,0.06948779645014783,11/03/2023 19:03:28,0.9009213,0.06458072923123837
64,0.92013174,0.07167475080611754,11/03/2023 19:03:31,0.8986501,0.06712738517671824
65,0.9105461,0.07652089239991441,11/03/2023 19:03:34,0.8916352,0.06815978139638901
66,0.92464757,0.06879311796961998,11/03/2023 19:03:38,0.895806,0.06594444159418344
67,0.92177266,0.0714760997769784,11/03/2023 19:03:41,0.90072834,0.06405430193990469
68,0.92627454,0.0671638116848712,11/03/2023 19:03:45,0.897904,0.0672818198800087
69,0.92490435,0.06773933743943973,11/03/2023 19:03:48,0.9005526,0.0674805324524641
70,0.9241605,0.06892441950586377,11/03/2023 19:03:51,0.89657086,0.0698318425565958
